"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"2.cmp824","R125","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp872","R126","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp894","R127","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp818","R128","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp819","R129","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp867","R130","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp866","R131","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp826","R132","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp830","R133","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp874","R134","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp878","R135","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp845","R136","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp834","R137","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp882","R138","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp893","R139","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp852","R140","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp825","R141","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp873","R142","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp900","R143","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp817","R144","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp807","R145","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
